ship_mode,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order ID,Order Date,,,
"Same Day,Home Office,Unclosed quote without termination,Columbus,Ohio,43229
Same Day,Home Office,United States,Henderson,Kentucky,42420,South,OFF-BI-6625-217,Office Supplies,Binders,Hon Deluxe Fabric Chair,696.1984,11,0.15,-352.5824,US-2022-156731,2023-02-21
Second Class,Home Office,United States,Dallas,Texas,75220,Central,TEC-CO-8158-233,Technology,Copiers,Xerox 1967,2592.8415,6,0.1,246.7451,US-2020-441634,2020-02-19
First Class,Home Office,United States,Henderson,Kentucky,N/A_ZIP,South,TEC-AC-8619-918,Technology,Accessories,Global Push Button Manager Chair,1411.1321,8,0,-617.5379,US-2022-729299,2021-02-22
Same Day,Corporate,United States,Dallas,Texas,75220,Central,OFF-PA-4420-467,Office Supplies,Paper,3M Storage Bin,1853.5738,five,0.1,536.185,US-2020-943724,2022-04-04
Standard Class,Corporate,United States,Newark,New Jersey,7114,East,FUR-BO-9144-768,Furniture,Bookcases,Hon Deluxe Fabric Chair,1375.8258,4,0,-122.8062,US-2020-425022,2024-01-22
Same Day,Consumer,United States,Seattle,Washington,98103,West,TEC-CO-9267-950,Technology,Copiers,Bush Somerset Bookcase,8.3769,5,??,2.8376,US-2022-420805,2020-07-07
Standard Class,Corporate,United States,Newark,New Jersey,7114,East,FUR-BO-7236-495,Furniture,Bookcases,Apple iPhone,1458.0276,14,0.4,566.269,US-2021-673230,2022-12-21
Second Class,Home Office,United States,Los Angeles,California,90036,West,TEC-PH-1926-146,Technology,Phones,Global Push Button Manager Chair,438.0849,8,0.45,-67.5503,US-2022-720034,2022-09-23
Same Day,Consumer,United States,Los Angeles,California,90036,West,FUR-BO-2040-988,Furniture,Bookcases,Logitech Wireless Mouse,308.3299,3,0.6,-6.3414,US-2020-901495,2024-06-02
Second Class,Corporate,United States,New York City,New York,10024,East,FUR-TA-2463-935,Furniture,Tables,Bush Somerset Bookcase,2639.9805,7,0.3,1153.0151,US-2020-109590,2021-05-11
Standard Class,Consumer,United States,New York City,New York,10024,East,FUR-BO-5709-435,Furniture,Bookcases,Logitech Wireless Mouse,1974.9851,1,0,-215.7508,US-2021-459391,2024-02-23
Standard Class,Consumer,United States,Henderson,Kentucky,42420,South,TEC-PH-8726-186,Technology,Phones,Global Push Button Manager Chair,130.7664,2,0,-70.186,US-2020-913540,2023-08-13
Same Day,Home Office,United States,Jacksonville,Florida,32216,South,FUR-CH-1043-890,Furniture,Chairs,Xerox 1967,419.5737,11,0.8,69.5164,US-2021-867685,2024-09-08
First Class,Corporate,United States,Houston,Texas,77036,Central,OFF-AP-3670-764,Office Supplies,Appliances,Global Push Button Manager Chair,98.2945,4,0.15,-39.9932,US-2022-213981,2024-04-09
First Class,Home Office,United States,Los Angeles,California,90036,West,OFF-BI-2162-721,Office Supplies,Binders,Bush Somerset Bookcase,790.9391,10,0.1,310.0231,US-2021-380751,2020-05-13
First Class,Corporate,United States,Dallas,Texas,75220,Central,FUR-TA-1030-928,Furniture,Tables,Hon Deluxe Fabric Chair,877.5087,5,0,19.6073,US-2024-985602,2020-08-03
Second Class,Home Office,United States,Chicago,Illinois,60623,Central,OFF-BI-5362-966,Office Supplies,Binders,Belkin Surge Protector,740.3671,7,0.3,156.472,US-2021-548970,2023-06-12
Second Class,Home Office,United States,Fort Lauderdale,Florida,33311,South,TEC-AC-7684-656,Technology,Accessories,3M Storage Bin,2154.0253,14,0.45,897.4096,US-2020-382671,2022-05-13
Second Class,Corporate,United States,Seattle,Washington,98103,West,OFF-AP-7540-926,Office Supplies,Appliances,Eldon Fold N Roll Cart,1075.6692,9,0.3,170.2749,US-2024-130138,2020-11-17
Same Day,Home Office,United States,Detroit,Michigan,48227,Central,OFF-BI-3433-184,Office Supplies,Binders,Logitech Wireless Mouse,2975.3928,2,0.8,-968.7682,US-2023-328831,2022-08-10
First Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,TEC-CO-1759-156,Technology,Copiers,3M Storage Bin,877.0808,5,0,336.5267,US-2023-150798,2022-04-23
First Class,Consumer,United States,Los Angeles,California,90036,West,OFF-BI-5174-152,Office Supplies,Binders,Bush Somerset Bookcase,2751.7977,12,0,1225.1544,US-2021-848257,2021-06-18
Same Day,Corporate,United States,New York City,New York,10024,East,TEC-PH-6133-997,Technology,Phones,Fellowes Binder,1454.8625,1,0.3,90.9467,US-2021-586404,2021-09-19
Standard Class,Home Office,United States,Houston,Texas,77036,Central,OFF-PA-1471-399,Office Supplies,Paper,Hon Deluxe Fabric Chair,1561.3333,12,0,-387.359,US-2024-740225,2024-07-23
Same Day,Home Office,United States,Chicago,Illinois,60623,Central,OFF-BI-1638-527,Office Supplies,Binders,Global Push Button Manager Chair,810.2578,11,0,181.6756,US-2021-110944,2020-08-10
First Class,Consumer,United States,New York City,New York,ZIPCODE,East,FUR-BO-6854-718,Furniture,Bookcases,Global Push Button Manager Chair,896.3235,4,0.2,-479.953,US-2023-703920,2022-05-28
Same Day,Consumer,United States,San Francisco,California,94109,West,OFF-AP-8249-379,Office Supplies,Appliances,Newell 322,2565.4271,7,0.2,846.3655,US-2023-342439,2024-04-15
Same Day,Consumer,United States,New York City,New York,10024,East,OFF-AP-9721-911,Office Supplies,Appliances,Newell 322,2698.6533,10,0,621.0407,US-2021-522638,2023-01-03
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-5946-127,Office Supplies,Binders,Fellowes Binder,2522.0768,1,0.8,-61.4119,US-2023-287150,2020-01-07
Same Day,Home Office,United States,Henderson,Kentucky,42420,South,FUR-FU-2008-576,Furniture,Furnishings,Global Push Button Manager Chair,559.3211,4,0,112.932,US-2022-225110,2022-12-24
Same Day,Home Office,United States,Newark,New Jersey,7114,East,TEC-AC-8542-505,Technology,Accessories,Eldon Fold N Roll Cart,82.5448,6,0.1,22.7883,US-2020-604340,2024-11-01
First Class,Home Office,United States,Seattle,Washington,98103,West,FUR-BO-1301-622,Furniture,Bookcases,Newell 322,155.5161,6,0.2,18.3715,US-2021-671475,2024-07-25
First Class,Consumer,United States,Columbus,Ohio,43229,East,TEC-PH-6443-419,Technology,Phones,Newell 322,2626.8595,9,0.1,-1189.0857,US-2022-279921,2020-12-23
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,FUR-TA-6659-976,Furniture,Tables,Fellowes Binder,1723.9405,4,0,502.5347,US-2023-622494,2024-11-22
Standard Class,Corporate,United States,Los Angeles,California,90036,West,TEC-MA-1294-558,Technology,Machines,HP Officejet Printer,2913.7777,6,0.45,-1003.1682,US-2023-820298,2021-10-09
Second Class,Consumer,United States,Dallas,Texas,75220,Central,FUR-FU-3250-357,Furniture,Furnishings,Apple iPhone,2602.7283,11,0,7.9048,US-2022-413236,2020-07-03
Same Day,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-2474-376,Office Supplies,Paper,Bretford Conference Table,765.0842,5,0.45,-445.742,US-2024-787692,2022-10-13
First Class,Home Office,United States,Henderson,Kentucky,42420,South,OFF-BI-7183-867,Office Supplies,Binders,Cisco IP Phone,1747.5036,2,0.4,-612.8274,US-2023-505545,2020-11-03
Standard Class,Home Office,United States,Jacksonville,Florida,32216,South,OFF-AP-2595-444,Office Supplies,Appliances,Bretford Conference Table,1357.7982,7,0.45,407.8377,US-2021-183037,2023-10-05
Second Class,Home Office,United States,Jacksonville,Florida,32216,South,FUR-CH-3454-909,Furniture,Chairs,Eldon Fold N Roll Cart,8.2533,2,0,2.4858,US-2021-694016,2021-04-02
Standard Class,Consumer,United States,New York City,New York,10024,East,OFF-BI-6787-835,Office Supplies,Binders,HP Officejet Printer,2322.7421,4,0.1,-647.5436,US-2020-747846,2023-04-23
Second Class,Corporate,United States,Columbus,Ohio,43229,East,TEC-CO-7761-594,Technology,Copiers,Apple iPhone,2273.3432,13,0.8,1020.9466,US-2020-784728,2020-05-16
Same Day,Consumer,United States,Detroit,Michigan,48227,Central,FUR-FU-1254-756,Furniture,Furnishings,HP Officejet Printer,2249.4941,2,0.45,-220.5807,US-2022-447610,2021-03-12
First Class,Home Office,United States,Fort Lauderdale,Florida,33311,South,TEC-MA-9334-458,Technology,Machines,Cisco IP Phone,2147.78,2,0,36.9166,US-2022-794358,2022-04-27
Standard Class,Consumer,United States,San Francisco,California,94109,West,OFF-AP-7102-362,Office Supplies,Appliances,Bush Somerset Bookcase,2345.6199,10,0.2,609.4674,US-2022-997142,2020-12-12
Second Class,Consumer,United States,New York City,New York,10024,East,OFF-ST-4767-111,Office Supplies,Storage,Bretford Conference Table,583.0146,2,0.8,263.2515,US-2023-787098,N/A
Second Class,Corporate,United States,New York City,New York,10024,East,FUR-TA-9878-781,Furniture,Tables,Belkin Surge Protector,1875.4656,2,0.45,-34.0006,US-2022-760603,2023-06-04
First Class,Corporate,United States,Detroit,Michigan,48227,Central,FUR-FU-3215-925,Furniture,Furnishings,Bretford Conference Table,2098.2544,12,0,-1105.8383,US-2024-963510,2022-10-10
Standard Class,Corporate,United States,Houston,Texas,77036,Central,FUR-TA-9322-888,Furniture,Tables,Xerox 1967,1594.9299,3,0.3,-651.9001,US-2024-220160,2020-04-11
Second Class,Consumer,United States,Detroit,Michigan,48227,Central,FUR-BO-8060-948,Furniture,Bookcases,Eldon Fold N Roll Cart,1472.9753,2,0.3,-707.3771,US-2023-225677,2023-07-20
Second Class",Home Office,Unclosed quote without termination,Dallas,Texas,75220,,,,,,,,,,,,,,
Same Day,Consumer,United States,Dallas,Texas,75220,Central,OFF-BI-6840-561,Office Supplies,Binders,Newell 322,1036.2355,5,0.4,80.7952,US-2020-793236,10-10-2024,,,
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,OFF-ST-2656-485,Office Supplies,Storage,Cisco IP Phone,1074.7748,11,0.45,499.5782,US-2022-674834,27-07-2021,,,
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,OFF-PA-7021-510,Office Supplies,Paper,Xerox 1967,2517.2194,10,0.3,-800.9134,US-2020-513415,05-03-2023,,,
Same Day,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-CH-5410-673,Furniture,Chairs,Hon Deluxe Fabric Chair,1615.8252,6,0.4,146.9529,US-2023-855126,12-06-2023,,,
Standard Class,Home Office,United States,Seattle,Washington,98103,West,TEC-PH-3577-155,Technology,Phones,Bush Somerset Bookcase,916.0878,14,0.1,-370.5074,US-2020-301071,25-01-2023,,,
Standard Class,Consumer,United States,Houston,Texas,77036,Central,FUR-BO-7191-319,Furniture,Bookcases,Apple iPhone,2699.3967,10,0.15,-903.126,US-2022-547866,12-04-2020,,,
Second Class,Corporate,United States,Fort Lauderdale,Florida,33311,South,OFF-AP-8378-976,Office Supplies,Appliances,Xerox 1967,986.3614,4,0,-377.024,US-2024-833893,10-03-2024,,,
First Class,Home Office,United States,Los Angeles,California,90036,West,FUR-CH-1903-952,Furniture,Chairs,HP Officejet Printer,unknown,11,0.1,315.6293,US-2024-840945,28-02-2022,,,
Standard Class,Home Office,United States,Columbus,Ohio,43229,East,OFF-AP-2139-294,Office Supplies,Appliances,HP Officejet Printer,1541.5369,9,0.2,-561.0703,US-2023-737584,05-07-2020,,,
Same Day,Corporate,United States,New York City,New York,10024,East,OFF-ST-6690-226,Office Supplies,Storage,3M Storage Bin,167.8212,9,,,,,,,
Second Class,Home Office,United States,Seattle,Washington,98103,West,FUR-BO-5067-835,Furniture,Bookcases,Apple iPhone,1189.2929,4,0.3,-135.0862,US-2020-120264,14-04-2022,,,
Same Day,Consumer,United States,Detroit,Michigan,48227,Central,TEC-CO-8035-975,Technology,Copiers,Bush Somerset Bookcase,6.1573,3,0.1,1.5256,US-2021-754035,17-12-2024,,,
Second Class,Consumer,United States,Dallas,Texas,75220,Central,TEC-CO-2567-683,Technology,Copiers,Xerox 1967,1316.3848,4,0.45,-137.2183,US-2023-728278,26-01-2022,,,
Same Day,Home Office,United States,Dallas,Texas,75220,Central,TEC-PH-9226-138,Technology,Phones,Bush Somerset Bookcase,232.6725,1,0.4,-55.4529,US-2022-356415,22-11-2021,,,
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-4919-517,Furniture,Chairs,HP Officejet Printer,2783.8143,5,0.1,17.0169,US-2022-643944,01-10-2020,,,
First Class,Home Office,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-6206-283,Furniture,Furnishings,Apple iPhone,408.4383,6,0,-207.1821,US-2021-987648,04-10-2021,,,
Second Class,Home Office,United States,Philadelphia,Pennsylvania,19140,East,OFF-ST-9811-253,Office Supplies,Storage,Apple iPhone,2225.4789,2,0,-1252.5077,US-2021-667623,12-05-2021,TOO,MANY,COLUMNS
"Standard Class,Corporate,Unclosed quote without termination,Seattle,Washington,98103
First Class,Consumer,United States,Dallas,Texas,75220,Central,TEC-CO-3294-359,Technology,Copiers,Bush Somerset Bookcase,1592.0077,7,0.8,-346.4755,US-2022-968811,2023-11-23
First Class,Corporate,United States,Seattle,Washington,98103,West,FUR-CH-7079-772,Furniture,Chairs,HP Officejet Printer,1568.4343,5,0.4,536.1835,US-2024-439023,2021-04-26
Same Day,Home Office,United States,New York City,New York,10024,East,FUR-CH-4299-503,Furniture,Chairs,Newell 322,2756.2613,13,0.45,263.9398,US-2020-330086,2020-10-13
Standard Class,Consumer,United States,New York City,New York,UNKNOWN,East,TEC-MA-2309-824,Technology,Machines,Bush Somerset Bookcase,1210.5966,9,0.3,566.9716,US-2021-569590,2020-01-27
Standard Class,Home Office,United States,Henderson,Kentucky,UNKNOWN,South,TEC-CO-2123-746,Technology,Copiers,Logitech Wireless Mouse,1330.9696,4,0.2,522.9352,US-2021-282597,2022-11-01
First Class,Corporate,United States,Chicago,Illinois,60623,Central,OFF-ST-9033-866,Office Supplies,Storage,Newell 322,66.1851,5,0.8,-6.201,US-2023-331460,2024-07-16
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,TEC-MA-3884-908,Technology,Machines,Hon Deluxe Fabric Chair,1535.1689,5,0.15,-613.6964,US-2024-160340,2022-09-28
Second Class,Consumer,United States,Columbus,Ohio,43229,East,FUR-CH-2820-410,Furniture,Chairs,Bush Somerset Bookcase,1063.4447,14,0.6,86.0341,US-2024-486313,2020-08-20
Same Day,Corporate,United States,Philadelphia,Pennsylvania,19140,East,TEC-CO-7864-648,Technology,Copiers,Cisco IP Phone,1477.4387,5,0,491.1732,US-2023-877715,2020-07-27,TOO,MANY,COLUMNS
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,FUR-TA-8710-653,Furniture,Tables,Hon Deluxe Fabric Chair,2896.9401,2,0.1,-649.153,US-2021-981132,2023-06-27
Standard Class,Home Office,United States,Chicago,Illinois,60623,Central,FUR-CH-3773-832,Furniture,Chairs,Fellowes Binder,2514.4787,1O,0.3,-14.0097,US-2022-837153,2021-06-12
First Class,Consumer,United States,Houston,Texas,77036,Central,OFF-AP-5438-220,Office Supplies,Appliances,Global Push Button Manager Chair,1150.9311,4,0,-532.7279,US-2023-282430,2020-08-03
First Class,Consumer,United States,San Francisco,California,94109,West,OFF-AP-3186-257,Office Supplies,Appliances,Bretford Conference Table,1157.1021,14,0.2,104.7689,US-2021-725276,2023-08-21
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,FUR-FU-8996-100,Furniture,Furnishings,Newell 322,611.5066,1,0.1,107.9272,US-2022-793708,2020-06-18
Second Class,Consumer,United States,San Francisco,California,94109,West,FUR-FU-9972-889,Furniture,Furnishings,Apple iPhone,2498.803,11,0.2,1141.0889,US-2023-456941,2022-11-17
First Class,Consumer,United States,Jacksonville,Florida,32216,South,TEC-CO-7247-246,Technology,Copiers,Eldon Fold N Roll Cart,737.114,6,0.4,62.7483,US-2024-389967,2023-05-02
Second Class,Consumer,United States,Los Angeles,California,90036,West,OFF-AR-8864-210,Office Supplies,Art,Fellowes Binder,1539.4311,14,0.15,-589.1183,US-2020-276656,2020-03-27
Same Day,Home Office,United States,Columbus,Ohio,43229,East,OFF-PA-7609-697,Office Supplies,Paper,Hon Deluxe Fabric Chair,2163.2474,5,0.1,-341.1853,US-2022-749625,2024-11-11
Standard Class,Home Office,United States,Los Angeles,California,90036,West,FUR-CH-6492-138,Furniture,Chairs,HP Officejet Printer,2089.5329,10,0.6,784.0261,US-2021-603544,2021-07-12,EXTRA_COLUMN_HERE,ANOTHER_EXTRA_VALUE
Standard Class,Consumer,United States,Houston,Texas,77036,Central,OFF-BI-5560-357,Office Supplies,Binders,Belkin Surge Protector,2750.6169,11,0.1,668.269,US-2024-148116,2024-06-03
Second Class,Corporate,United States,New York City,New York,10024,East,TEC-CO-2555-293,Technology,Copiers,Fellowes Binder,2913.2165,6,0,218.9623,US-2020-692624,2021-07-09
First Class,Home Office,United States,Chicago,Illinois,60623,Central,TEC-CO-7645-978,Technology,Copiers,Xerox 1967,2658.5494,10,0,503.7648,US-2020-655023,2020-09-05
First Class",Corporate,Unclosed quote without termination,San Francisco,California,94109,,,,,,,,,,,,,,
Standard Class,Consumer,United States,Seattle,Washington,98103,West,FUR-TA-1561-947,Furniture,Tables,Fellowes Binder,1129.0848,10,0.6,197.7939,,,,,
First Class,Corporate,United States,Detroit,Michigan,48227,Central,TEC-CO-7601-127,Technology,Copiers,Logitech Wireless Mouse,82.8078,3,0.6,18.1744,US-2022-856259,25-09-2022,,,
Same Day,Corporate,United States,Dallas,Texas,75220,Central,OFF-BI-3090-232,Office Supplies,Binders,Eldon Fold N Roll Cart,2897.6836,9,0.1,-693.0763,US-2021-720192,22-01-2023,,,
First Class,Home Office,United States,Seattle,Washington,98103,West,FUR-CH-8231-885,Furniture,Chairs,Eldon Fold N Roll Cart,788.2843,3,0.15,186.9918,US-2023-742420,20-03-2024,,,
Second Class,Corporate,United States,Dallas,Texas,N/A_ZIP,Central,OFF-AR-7099-157,Office Supplies,Art,Global Push Button Manager Chair,1425.2308,10,0.3,408.2163,US-2021-169151,14-03-2024,,,
First Class,Consumer,United States,Chicago,Illinois,60623,Central,OFF-BI-8103-777,Office Supplies,Binders,Bretford Conference Table,1008.9003,3,0.2,-490.7721,US-2022-893563,21-07-2021,,,
Same Day,Consumer,United States,Jacksonville,Florida,32216,South,FUR-CH-9312-311,Furniture,Chairs,Belkin Surge Protector,938.1509,9,0.45,262.5605,US-2023-768881,07-10-2022,,,
First Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,TEC-PH-2708-603,Technology,Phones,Global Push Button Manager Chair,1195.6772,6,0.8,174.7531,US-2024-928685,18-09-2024,,,
Second Class,Corporate,United States,Newark,New Jersey,7114,East,TEC-AC-9169-364,Technology,Accessories,Global Push Button Manager Chair,377.7958,11,0,-50.0293,US-2021-706830,21-04-2024,,,
Same Day,Corporate,United States,Seattle,Washington,98103,West,OFF-AR-7949-309,Office Supplies,Art,Newell 322,2242.4015,1,0,-956.5677,US-2021-858760,16-08-2024,,,
Second Class,Corporate,United States,Fort Worth,Texas,76106,Central,OFF-PA-7531-542,Office Supplies,Paper,HP Officejet Printer,1589.112,13,0,-200.4957,US-2024-710312,23-04-2023,,,
First Class,Corporate,United States,Dallas,Texas,75220,Central,OFF-AP-7468-311,Office Supplies,Appliances,Apple iPhone,2675.6496,4,0.6,604.1652,US-2020-346622,06-06-2023,,,
Same Day,Home Office,United States,Seattle,Washington,98103,West,FUR-TA-6755-409,Furniture,Tables,Bretford Conference Table,672.3683,8,0.15,-210.8404,US-2024-597440,04-10-2023,,,
Second Class,Consumer,United States,Fort Worth,Texas,76106,Central,OFF-ST-6108-170,Office Supplies,Storage,Global Push Button Manager Chair,127.816,4,0.45,-44.0381,US-2020-767189,27-04-2023,,,
Second Class,Corporate,United States,Newark,New Jersey,7114,East,FUR-FU-5902-200,Furniture,Furnishings,Logitech Wireless Mouse,1955.9385,10,0,-234.8364,US-2021-356607,28-02-2020,,,
First Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-9460-469,Furniture,Furnishings,Cisco IP Phone,2417.2492,11,0,877.7366,US-2022-658618,03-12-2024,,,
